row_id,F_3_0,F_3_1,F_3_2,F_3_3,F_3_4,F_3_5,F_3_6,F_3_7,F_3_8,F_3_9,F_3_10,F_3_11,F_3_12,F_3_13,F_3_14,F_3_15,F_3_16,F_3_17,F_3_18,F_3_19,F_3_20,F_3_21,F_3_22,F_3_23,F_3_24
6,0.03999709987012972,-0.354983,0.835825,0.449034,0.424138,0.296885,-0.763448,-0.202589,-0.638104,-0.886822,0.747024,-0.007338,-0.608553,-0.281169,-0.408832,2.472367,-0.384293,0.131609,0.778294,0.682152,-0.868145,-0.071501,0.658957,-0.391266,-0.930879
8,0.529709,0.290855,0.107991,-0.36406,-1.150152,-1.313791,-1.547688,0.758079,-0.171392,-0.732342,-0.593423,0.75577,0.7181,1.280575,-2.40906,0.162953,-2.438368,-1.238421,0.205488,1.068186,-0.9434,0.575839,-0.0597076369318296,1.115005,-0.046662669392653934
9,-0.059473,0.458778,1.702017,-1.052066,0.721513,-0.615536,-0.594548,-1.305382,-0.615301,-1.095648,-0.014195755761401462,0.942774,1.137554,0.299802,-0.662236,-1.058998,-1.133211,-1.065754,0.280172,-0.016673,0.137101,-0.033187,-0.442733,0.939554,3.46676
15,2.602846,-0.773952,1.468548,-0.169579,1.245967,0.400149,0.208348,0.854147,-0.905269,-0.089484,-0.009813599375679664,1.209495,0.091122,-0.072982,0.449576,0.949565,-0.998448,0.178776,-0.893792,0.371916,0.496493,0.075857,1.430691,1.442362,0.10722
16,-0.728684,-0.059832,0.136752,0.301907,0.453268,0.017529761633179614,2.191319,-0.631232,0.823491,-0.160776,-1.570883,-0.218353,-0.509812,-0.869162,1.08772,0.222884,-1.271971,0.834721,-0.24597,-1.374868,-0.744505,-1.541622,-1.367437,0.755319,0.251472
20,0.392237,1.502631,0.644737,-2.934048,0.940243,0.743088,-0.314654,-0.288563,0.028188,-1.477169,-0.982079,-0.592607,-0.467278,1.287391,1.603876,0.745123,0.847569,0.629046,-2.144803,0.125309,0.460539,-1.726089,-0.436669,1.979447,0.436784
22,0.69281,-0.141629,0.744259,1.033854,-1.232649,-0.06890243946472241,0.503083,-1.567544,-0.680365,-2.087579,1.214013,-1.097213,0.05210246495906614,-0.069381,0.015929,-0.0274,-0.928274,0.794545,-2.045934,0.028712,0.530461,0.70686,0.120991,-0.493833,0.204595
26,-0.012322,-0.780485,2.601115,-0.55749,0.22368,-1.50061,-0.278889,0.587567,-1.653716,-0.0066957455339855115,-0.248883,-1.234663,0.397108,-0.651783,-0.981754,-0.994179,0.990612,-1.569441,-0.268415,0.720904,-1.336404,-1.477422,0.117623,-0.883521,1.160637
30,0.767627,0.842651,-1.383507,0.500257,-1.052479,-0.871858,-0.096019,-0.040723,-0.235981,-0.03765,0.033607,-0.097615,-1.032627,-0.312236,0.087163,0.07257999868405056,0.199848,-0.13842,-1.095862,-1.77515,-0.43631,-0.244736,-0.148303,1.25501,-0.75833
33,-0.664521,0.673651,-1.618308,-0.025153,-0.177353,-0.423893,1.622395,0.600838,-1.126036,0.736966,0.067105,-0.626396,1.525664,-0.698039,-0.753319,-0.590814,-0.411254,0.553353,0.22643,1.269036,-0.322643,0.225762,-0.506507,-0.433984,-0.818015
